id,text,label,subtype,source,received,notes
e00001,CANCLE,scam,other_scam,exais,2014-09-04,auto-subtyped
e00002,Your plan Smallie.is going to be renewed. Please send CANCEL if you do not want this to happen,scam,other_scam,exais,2014-09-04,auto-subtyped
e00003,"Dear Glo subscriber, you just passed 80% of your Plan Validity Period. Glo Unlimited.",scam,other_scam,exais,2014-09-04,auto-subtyped
e00004,Welcome to Smallie. It will expire on 04/09/2014 14:19,scam,other_scam,exais,2014-09-01,auto-subtyped
e00005,Please send :1 for Day Plans2 for Week Plans3 for Monthly Plans4 for Time Based Monthly Plans,scam,other_scam,exais,2014-08-25,auto-subtyped
e00006,ACTIVATE,scam,other_scam,exais,2014-08-25,auto-subtyped
e00007,Please send ACTIVATE to 127 for a list of options,scam,other_scam,exais,2014-08-25,auto-subtyped
e00008,PAYYOU,scam,other_scam,exais,2014-08-25,auto-subtyped
e00009,"Dear Customer, your 10MB 1-Day Mobile Data plan has expired: 29/Aug/2014 10:38. Subscribe to a data plan now or continue browsing at bundle rate.",scam,other_scam,exais,2014-09-04,auto-subtyped
e00010,"Y'ello! You have 193.53MB in your SME shared data bundle, it expires on 29/Sep/2014 12:00. Thank you",scam,other_scam,exais,2014-09-01,auto-subtyped
e00011,"Y'ello! You have 500.00MB in your SME shared data bundle, it expires on 29/Sep/2014 12:00. Thank you",scam,other_scam,exais,2014-08-31,auto-subtyped
e00012,Y'ello! You have received 250.00MB SME Data Share from <ACCT>. Thank you.,scam,other_scam,exais,2014-08-31,auto-subtyped
e00013,"Here's a genuine Birthday prayer from the heart of one friend to another, May you have the world at your feet someday and may we always be together. Happy Birthday!Sunday",legitimate,other_legit,exais,2014-09-02,auto-subtyped
e00014,"A million and one THANKS is nt enough to appreciate a beautiful Person like u. Txs 4 d luv, Prayers,best wishes n gifts. God bless u immersly. Lots of luv",legitimate,other_legit,exais,2014-09-01,auto-subtyped
e00015,"access>>>Credit AlertAmt: NGN 27,000.00 CrAcc: <ACCT>Desc: CD BY BABALOLA AKIN O/A4156936Time: 01/09/14 ?9:27 AMBal: NGN 28,1.44",scam,other_scam,exais,2014-09-01,auto-subtyped
e00016,"access>>>Debit AlertAmt: NGN 3,000.00 DrAcc: <ACCT>Desc: 10440377-ATM CASH WITHDRAWAL FTime: 22/08/14 5:53 PMBal: NGN 3,423.44",scam,other_scam,exais,2014-08-22,auto-subtyped
e00017,Get access to all our services using ONE code. Dial *200# and select your preferred option,scam,other_scam,exais,2014-08-25,auto-subtyped
e00018,"<ACCT>,this is Yemisi 's no. Sorry 4 the delay. Seyi",legitimate,debit_alert,exais,2014-08-24,auto-subtyped
e00019,"Your Birthday is the perfect opportunity to take a pause in life, look at the things around you, sense the feeling of being alive in the depths of your heart and promise yourself to do great things. Happy Birthday!",legitimate,other_legit,exais,2014-08-22,auto-subtyped
e00020,"Acct: ******2491Amt: NGN1,000.00 DrDesc: CASH WDL FROM OUR ATM-GTBank EBranch UNAAB Ogun OGNG STAN<ACCT>Avail Bal: NGN287.13",legitimate,debit_alert,exais,2014-08-10,auto-subtyped
e00021,"Acct: ******2491Amt: NGN500.00 DrDesc: CASH WDL FROM OUR ATM-GTBank EBranch UNAAB Ogun OGNG STAN<ACCT>Avail Bal: NGN1,287.13",legitimate,debit_alert,exais,2014-08-09,auto-subtyped
e00022,"Acct: ******2491Amt: NGN1,000.00 DrDesc: CASH WDL FROM OUR ATM-GTBank EBranch UNAAB Ogun OGNG STAN<ACCT>Avail Bal: NGN1,787.13",legitimate,debit_alert,exais,2014-08-06,auto-subtyped
e00023,"Acct: ******2491Amt: NGN5,000.00 DrDesc: CASH WDL FROM OUR ATM-GTBank EBranch UNAAB Ogun OGNG STAN<ACCT>Avail Bal: NGN2,787.13",legitimate,debit_alert,exais,2014-08-05,auto-subtyped
e00024,"Acct: ******2491Amt: NGN24.00 DrDesc: SI TRANSACTION (DIFFERENT CUSTOMERS)-SMS CHARGE FOR JULY 2014Avail Bal: NGN7,787.13",legitimate,debit_alert,exais,2014-08-04,auto-subtyped
e00025,"Acct: ******2491Amt: NGN200.00 DrDesc: POS-GTBank EBranch UNAAB Ogun OGNG STAN<ACCT>Avail Bal: NGN7,811.13",legitimate,debit_alert,exais,2014-08-04,auto-subtyped
e00026,"Acct: ******2491Amt: NGN2,000.00 DrDesc: CASH WDL FROM OUR ATM-GTBank EBranch UNAAB Ogun OGNG STAN<ACCT>Avail Bal: NGN8,11.13",legitimate,debit_alert,exais,2014-08-04,auto-subtyped
e00027,"to BABALOLA, SUNDAY SEYIAvail Bal: NGN10,11.13",legitimate,other_legit,exais,2014-08-04,auto-subtyped
e00028,"Acct: ******2491Amt: NGN10,000.00 CrDesc: TRANSFER BETWEEN CUSTOMERS-<ACCT> adegboyega N<ACCT> BABALOLA ADEGBOYEGA DARE",legitimate,debit_alert,exais,2014-08-04,auto-subtyped
e00029,"Don't worry any longer, I don't need the money again. I av got another phone",legitimate,other_legit,exais,2014-08-07,auto-subtyped
e00030,Some of ur confidence is wickedness to me. Continue U see d result oneday.,legitimate,other_legit,exais,2014-06-29,auto-subtyped
e00031,"It won't be funny if u keep on telling me that u are not coming and I later see u. If that is what they asked u to do,u need to rethink and tell me that u are coming.",legitimate,other_legit,exais,2014-06-20,auto-subtyped
e00032,<ACCT>. I love u.,legitimate,debit_alert,exais,2014-06-03,auto-subtyped
e00033,Miles may lie between us but we are never far apart. For love doesn't count the miles. It's measured by the heart. I love you. Sweet dreams,legitimate,other_legit,exais,2014-06-01,auto-subtyped
e00034,"Like the stars were made to twinkle,Like the sun was made to shine,Like the clouds were made to embrace,Like the flowers were made to bloom,Like life was made to be lived,I was made to love you and that I will always do. Sorry I couldn't call again cos my bonus is finished. Gud nite and dream of me.",legitimate,other_legit,exais,2014-06-01,auto-subtyped
e00035,"U asked wat is makin me think, d owner of d chest, where I usually put my head @ night, is not with me. Y wil I not think? My luv is far frm me. I'm missing U.",legitimate,other_legit,exais,2014-05-31,auto-subtyped
e00036,"Like the stars were made to twinkle,Like the sun was made to shine,Like the clouds were made to embrace, Like the flowers were made to bloom,Like life was made to be lived,I was made to love you and that I will always do. Good nite.",legitimate,other_legit,exais,2014-05-21,auto-subtyped
e00037,"I love you more today than I did yesterday,But not as much as I will tomorrow.Happy Valentine's Day!",legitimate,other_legit,exais,2014-02-14,auto-subtyped
e00038,Who are d 'they'? If God say U wil see me again U wil. Thank God we av 'they' btw us now.,legitimate,other_legit,exais,2014-06-20,auto-subtyped
e00039,Oni Oluwatoyin Florence...01XXXXXX3. Happy new month.,legitimate,other_legit,exais,2014-04-01,auto-subtyped
e00040,"Dear BABALOLA, school fee Ref: FUN/FEE/RSG/201314/1/04531 Bank: GTBANK Date: 24/03/14 15:02:21 Amt:15,850.00. Go online to complete your course registration and print receipt.",legitimate,other_legit,exais,2014-03-24,auto-subtyped
e00041,"Yemisi, you said you are going and u went despite the fact that i've explained things to you and even saying that i'm sorry. I want u to know that what i didnt do in the past 6 years, i can start now and if after all this years u cant even trust me 4 a minute, then i dont know what to say but i'm saying this wt my whole heart that i've never cheated on u and i will never do. Once again i'm sorry",legitimate,other_legit,exais,2014-01-15,auto-subtyped
e00042,Your Viber code <CODE>.Close this message and enter the code into Viber to activate your account.,scam,other_scam,exais,2014-01-15,auto-subtyped
e00043,01XXXX23 babalola andrew olawale,legitimate,other_legit,exais,2014-01-10,auto-subtyped
e00044,oji GTB ACCOUNT No. <PHONE>. Abeokuta. Regards,legitimate,other_legit,exais,2014-01-08,auto-subtyped
e00045,Good day. Please note that your house rent expired on 31st Dec. 2013. Please ensure you pay immediately into the account below. OLUWAGBENRO Thomas Olus,legitimate,other_legit,exais,2014-01-08,auto-subtyped
e00046,"20XXXXXX71 Babalola Adegboyega D, zenith bank",legitimate,other_legit,exais,2014-01-07,auto-subtyped
e00047,REPLY WITH SMS,scam,other_scam,exais,2016-03-10,auto-subtyped
e00048,Y'ello! You do not have any pending request. Thank you.,scam,other_scam,exais,2013-06-26,auto-subtyped
