id,text,label,subtype,source,received,notes
e00002,Your plan Smallie.is going to be renewed. Please send CANCEL if you do not want this to happen,legitimate,promo_marketing,exais,2014-09-04,auto: relabelled marketing
e00003,"Dear Glo subscriber, you just passed 80% of your Plan Validity Period. Glo Unlimited.",legitimate,promo_marketing,exais,2014-09-04,auto: relabelled marketing
e00004,Welcome to Smallie. It will expire on 04/09/2014 14:19,legitimate,promo_marketing,exais,2014-09-01,auto: relabelled marketing
e00005,Please send :1 for Day Plans2 for Week Plans3 for Monthly Plans4 for Time Based Monthly Plans,legitimate,promo_marketing,exais,2014-08-25,auto: relabelled marketing
e00007,Please send ACTIVATE to 127 for a list of options,legitimate,promo_marketing,exais,2014-08-25,auto: relabelled marketing
e00009,"Dear Customer, your 10MB 1-Day Mobile Data plan has expired: 29/Aug/2014 10:38. Subscribe to a data plan now or continue browsing at bundle rate.",legitimate,promo_marketing,exais,2014-09-04,auto: relabelled marketing
e00010,"Y'ello! You have 193.53MB in your SME shared data bundle, it expires on 29/Sep/2014 12:00. Thank you",legitimate,promo_marketing,exais,2014-09-01,auto: relabelled marketing
e00011,"Y'ello! You have 500.00MB in your SME shared data bundle, it expires on 29/Sep/2014 12:00. Thank you",legitimate,promo_marketing,exais,2014-08-31,auto: relabelled marketing
e00012,Y'ello! You have received 250.00MB SME Data Share from <ACCT>. Thank you.,legitimate,promo_marketing,exais,2014-08-31,auto: relabelled marketing
e00013,"Here's a genuine Birthday prayer from the heart of one friend to another, May you have the world at your feet someday and may we always be together. Happy Birthday!Sunday",legitimate,other_legit,exais,2014-09-02,auto-subtyped
e00014,"A million and one THANKS is nt enough to appreciate a beautiful Person like u. Txs 4 d luv, Prayers,best wishes n gifts. God bless u immersly. Lots of luv",legitimate,other_legit,exais,2014-09-01,auto-subtyped
e00015,"access>>>Credit AlertAmt: NGN 27,000.00 CrAcc: <ACCT>Desc: CD BY BABALOLA AKIN O/A4156936Time: 01/09/14 ?9:27 AMBal: NGN 28,1.44",legitimate,credit_alert,exais,2014-09-01,auto: relabelled bank alert
e00016,"access>>>Debit AlertAmt: NGN 3,000.00 DrAcc: <ACCT>Desc: 10440377-ATM CASH WITHDRAWAL FTime: 22/08/14 5:53 PMBal: NGN 3,423.44",legitimate,debit_alert,exais,2014-08-22,auto: relabelled bank alert
e00017,Get access to all our services using ONE code. Dial *200# and select your preferred option,legitimate,promo_marketing,exais,2014-08-25,auto: relabelled marketing
e00018,"<ACCT>,this is Yemisi 's no. Sorry 4 the delay. Seyi",legitimate,debit_alert,exais,2014-08-24,auto-subtyped
e00019,"Your Birthday is the perfect opportunity to take a pause in life, look at the things around you, sense the feeling of being alive in the depths of your heart and promise yourself to do great things. Happy Birthday!",legitimate,other_legit,exais,2014-08-22,auto-subtyped
e00020,"Acct: ******2491Amt: NGN1,000.00 DrDesc: CASH WDL FROM OUR ATM-GTBank EBranch UNAAB Ogun OGNG STAN<ACCT>Avail Bal: NGN287.13",legitimate,debit_alert,exais,2014-08-10,auto-subtyped
e00021,"Acct: ******2491Amt: NGN500.00 DrDesc: CASH WDL FROM OUR ATM-GTBank EBranch UNAAB Ogun OGNG STAN<ACCT>Avail Bal: NGN1,287.13",legitimate,debit_alert,exais,2014-08-09,auto-subtyped
e00022,"Acct: ******2491Amt: NGN1,000.00 DrDesc: CASH WDL FROM OUR ATM-GTBank EBranch UNAAB Ogun OGNG STAN<ACCT>Avail Bal: NGN1,787.13",legitimate,debit_alert,exais,2014-08-06,auto-subtyped
e00023,"Acct: ******2491Amt: NGN5,000.00 DrDesc: CASH WDL FROM OUR ATM-GTBank EBranch UNAAB Ogun OGNG STAN<ACCT>Avail Bal: NGN2,787.13",legitimate,debit_alert,exais,2014-08-05,auto-subtyped
e00024,"Acct: ******2491Amt: NGN24.00 DrDesc: SI TRANSACTION (DIFFERENT CUSTOMERS)-SMS CHARGE FOR JULY 2014Avail Bal: NGN7,787.13",legitimate,debit_alert,exais,2014-08-04,auto-subtyped
e00025,"Acct: ******2491Amt: NGN200.00 DrDesc: POS-GTBank EBranch UNAAB Ogun OGNG STAN<ACCT>Avail Bal: NGN7,811.13",legitimate,debit_alert,exais,2014-08-04,auto-subtyped
e00026,"Acct: ******2491Amt: NGN2,000.00 DrDesc: CASH WDL FROM OUR ATM-GTBank EBranch UNAAB Ogun OGNG STAN<ACCT>Avail Bal: NGN8,11.13",legitimate,debit_alert,exais,2014-08-04,auto-subtyped
e00027,"to BABALOLA, SUNDAY SEYIAvail Bal: NGN10,11.13",legitimate,other_legit,exais,2014-08-04,auto-subtyped
e00028,"Acct: ******2491Amt: NGN10,000.00 CrDesc: TRANSFER BETWEEN CUSTOMERS-<ACCT> adegboyega N<ACCT> BABALOLA ADEGBOYEGA DARE",legitimate,debit_alert,exais,2014-08-04,auto-subtyped
e00029,"Don't worry any longer, I don't need the money again. I av got another phone",legitimate,other_legit,exais,2014-08-07,auto-subtyped
e00030,Some of ur confidence is wickedness to me. Continue U see d result oneday.,legitimate,other_legit,exais,2014-06-29,auto-subtyped
e00031,"It won't be funny if u keep on telling me that u are not coming and I later see u. If that is what they asked u to do,u need to rethink and tell me that u are coming.",legitimate,other_legit,exais,2014-06-20,auto-subtyped
