id,text,label,subtype,source,received,notes
e00042,Your Viber code <CODE>.Close this message and enter the code into Viber to activate your account.,scam,other_scam,exais,2014-01-15,REVIEW: fraud or marketing?
e00047,REPLY WITH SMS,scam,other_scam,exais,2016-03-10,REVIEW: fraud or marketing?
e00055,01 10 1992,scam,other_scam,exais,2013-06-02,REVIEW: fraud or marketing?
e00057,ODEOMU; OSUN STATE,scam,other_scam,exais,2013-06-02,REVIEW: fraud or marketing?
e00062,EPL Is Here Again. Text Sport to 35241 For Sport News Update. Cost N100/30days,scam,other_scam,exais,2014-09-04,REVIEW: fraud or marketing?
e00063,Join the winning team now & enjoy unlimited instant airtime when you answer 3 question in the Brain-Wave game. Text WAVE to 5032 to get started now. N10/SMS and stop to unsubcribe,scam,other_scam,exais,2014-09-04,REVIEW: fraud or marketing?
e00064,Nigeria's 100 years!Celebrate with us &you can win the 'Nigeria Centenary 100 Million Naira Mega Jackpot'!Send WIN to 35777 and participate now!N100/SMS,scam,other_scam,exais,2014-09-04,REVIEW: fraud or marketing?
e00065,"Today is Bimbola Kenny's birthday. Reply to post on her Timeline or reply 1 to post ""Happy Birthday!"".",scam,other_scam,exais,2014-09-04,REVIEW: fraud or marketing?
e00066,"Today is Oluwafunke Jawolusi's birthday. Reply to post on her Timeline or reply 1 to post ""Happy Birthday!"".",scam,other_scam,exais,2014-07-05,REVIEW: fraud or marketing?
e00067,"Egbetola Olanrewaju: who wants a free ipad? <URL> (Sent to you, Aisosa, Bakare, Williams, Oguntoye, Joke, and 27 others. Reply to msg all, ""mute"" to stop convo. Info: <URL>",scam,other_scam,exais,2014-05-28,REVIEW: fraud or marketing?
e00068,"If you are in need of more creative, inventive thinking at work or school, here are ways to boost your creativity. Text CREATIVE to 700. N50/week.",scam,other_scam,exais,2014-09-04,REVIEW: fraud or marketing?
e00114,How Nigerian are you? Prove it! Answer 3 Questions correctly & be rewarded with DSTV Walka7s & more. Text GOL to 5030 T&Cs apply and stop to unsubcribe,scam,other_scam,exais,2014-09-03,REVIEW: fraud or marketing?
e00151,Receive healing prophesies from Bishop David Oyedepo every day. Send BDO to 5029 to subscribe at N50 Weekly.,scam,other_scam,exais,2014-09-02,REVIEW: fraud or marketing?
e00152,Your friends have posted 480 updates this week. Reply to post your own status on Facebook or go to <URL>,scam,other_scam,exais,2014-09-02,REVIEW: fraud or marketing?
e00153,Your friends have posted 401 updates this week. Reply to post your own status on Facebook or go to <URL>,scam,other_scam,exais,2014-09-02,REVIEW: fraud or marketing?
e00154,Subscribe to Genevieve Magazine for 7 days free and get two other news and gist products for 7 days free. Text GMW to 4900. Renewal at N30/week.,scam,other_scam,exais,2014-09-02,REVIEW: fraud or marketing?
e00155,Get the Leadership Newspaper delivered to your mobile phone everyday! Text LDW to 4900 to subscribe @N30 weekly,scam,other_scam,exais,2014-02-18,REVIEW: fraud or marketing?
e00157,"Catch the latest gossip, news and hot gist on Linda Ikeji, Text LIW to 4900 to subscribe @ N30 weekly.",scam,other_scam,exais,2013-08-25,REVIEW: fraud or marketing?
e00158,Get the Sun Newspaper delivered to your mobile phone everyday! Text SNW to 4900 @N30 weekly.,scam,other_scam,exais,2013-06-13,REVIEW: fraud or marketing?
e00159,Get the Vanguard Newspaper delivered to your mobile phone everyday! Text VNM to 4900 @ N120 monthly.,scam,other_scam,exais,2013-05-16,REVIEW: fraud or marketing?
e00160,"Seaweed is a superfood that makes a great snack.. To get your daily dose of health tips text Medplus to 5021 to subscribe, N50/weekly,text STOP to unsubscribe.",scam,other_scam,exais,2014-09-02,REVIEW: fraud or marketing?
e00224,"Today is Seyi Odusanya's birthday. Reply to post on his Timeline or reply 1 to post ""Happy Birthday!"".",scam,other_scam,exais,2014-09-02,REVIEW: fraud or marketing?
e00227,"1,000 times congrats!<PHONE> this offer is personal and not transferable:enjoy our exclusive Relationship Tips service! To start:Call *585*6*1# now!N20/day.",scam,other_scam,exais,2014-09-01,REVIEW: fraud or marketing?
e00234,SMILE :) You would be having an incredibly excellent result this time. We haven't forgotten about you. Our prayers are with you.PresidentEsther. N,scam,other_scam,exais,2014-08-31,REVIEW: fraud or marketing?
e00237,"100% South Africa visa guaranteed+residence to stay, (upon request).Canada and USA visas available. Are you interested? If yes then call <PHONE>.",scam,other_scam,exais,2014-08-31,REVIEW: fraud or marketing?
e00238,"Today is Igbinlola Olatunde Tinuola's birthday. Reply to post on his Timeline or reply 1 to post ""Happy Birthday!"".",scam,other_scam,exais,2014-08-31,REVIEW: fraud or marketing?
e00239,"Today is Yusuff Idris Adebayo's birthday. Reply to post on his Timeline or reply 1 to post ""Happy Birthday!"".",scam,other_scam,exais,2014-08-30,REVIEW: fraud or marketing?
e00240,"For the latest Breaking News and Top Stories, subscribe to News Headlines. Send NEWS to 33330 at N50/week. For the latest Football News, text FOOT to 33330",scam,other_scam,exais,2014-08-29,REVIEW: fraud or marketing?
